number,opened_at,resolved_at,closed_at,priority,urgency,impact,category,assignment_group,reassignment_count,reopen_count,made_sla,resolution_time_hours,sla_status
INC0000062,2016-02-29 06:58:00,2016-02-29 15:51:00,2016-03-05 16:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 23,1,0,false,8.883333333333333,Breached SLA
INC0000102,2016-02-29 09:06:00,2016-03-17 16:28:00,2016-03-24 18:59:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 23,4,1,false,415.3666666666667,Breached SLA
INC0000147,2016-02-29 10:00:00,2016-03-14 09:49:00,2016-03-19 10:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 25,1,0,false,335.81666666666666,Breached SLA
INC0000171,2016-02-29 10:33:00,2016-03-18 13:44:00,2016-03-24 18:59:00,3 - moderate,2 - Medium,2 - Medium,category 24,Group 70,4,0,false,435.18333333333334,Breached SLA
INC0000294,2016-02-29 14:06:00,2016-03-14 08:25:00,2016-03-24 18:50:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 25,1,1,false,330.31666666666666,Breached SLA
INC0000325,2016-02-29 14:49:00,2016-03-16 08:56:00,2016-03-24 18:59:00,4 - low,3 - Low,3 - Low,category 45,Group 66,0,0,false,378.1166666666667,Breached SLA
INC0000329,2016-02-29 14:50:00,2016-03-16 11:38:00,2016-03-24 18:59:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 28,4,0,false,380.8,Breached SLA
INC0000330,2016-02-29 14:52:00,2016-03-18 13:44:00,2016-03-24 18:59:00,4 - low,3 - Low,3 - Low,category 45,Group 66,0,0,false,430.8666666666667,Breached SLA
INC0000351,2016-02-29 15:24:00,2016-03-21 16:11:00,2016-03-26 16:59:00,4 - low,3 - Low,3 - Low,category 45,Group 66,0,0,false,504.78333333333336,Breached SLA
INC0000379,2016-02-29 16:25:00,2016-02-29 20:25:00,2016-05-23 11:07:00,3 - moderate,2 - Medium,2 - Medium,category 8,Group 56,0,0,false,4.0,Breached SLA
INC0000400,2016-02-29 17:32:00,2016-03-14 19:03:00,2016-03-24 18:59:00,3 - moderate,2 - Medium,2 - Medium,category 45,Group 70,1,0,false,337.51666666666665,Breached SLA
INC0000418,2016-02-29 18:35:00,2016-03-17 16:17:00,2016-03-24 18:59:00,3 - moderate,2 - Medium,2 - Medium,category 55,Group 25,0,0,false,405.7,Breached SLA
INC0000441,2016-02-29 22:20:00,2016-03-15 13:51:00,2016-03-20 14:00:00,3 - moderate,2 - Medium,2 - Medium,category 45,Group 15,7,0,false,351.51666666666665,Breached SLA
INC0000458,2016-02-29 23:53:00,2016-03-18 13:48:00,2016-03-24 18:59:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 70,6,0,false,421.9166666666667,Breached SLA
INC0006295,2016-03-13 00:05:00,2016-03-13 02:38:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,0,0,false,2.55,Breached SLA
INC0006300,2016-03-13 04:58:00,2016-03-13 05:05:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,0,0,false,0.11666666666666667,Breached SLA
INC0006301,2016-03-13 05:16:00,2016-03-13 05:36:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 23,Group 70,1,0,false,0.3333333333333333,Breached SLA
INC0006305,2016-03-13 07:07:00,2016-03-15 12:11:00,2016-03-24 19:00:00,1 - critical,1 - High,1 - High,category 53,Group 19,1,0,false,53.06666666666667,Breached SLA
INC0006309,2016-03-13 08:20:00,2016-03-13 14:49:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 35,Group 70,1,0,false,6.483333333333333,Breached SLA
INC0006317,2016-03-13 10:26:00,2016-03-14 14:10:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 28,1,0,false,27.733333333333334,Breached SLA
INC0006320,2016-03-13 10:54:00,2016-03-13 11:16:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 70,0,0,false,0.36666666666666664,Breached SLA
INC0006322,2016-03-13 12:13:00,2016-03-14 09:20:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 57,Group 56,1,0,false,21.116666666666667,Breached SLA
INC0006325,2016-03-13 14:17:00,2016-03-15 02:22:00,2016-05-20 18:37:00,3 - moderate,2 - Medium,2 - Medium,category 57,Group 65,4,0,false,36.083333333333336,Breached SLA
INC0006328,2016-03-13 14:53:00,2016-03-14 10:17:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 62,2,0,false,19.4,Breached SLA
INC0006330,2016-03-13 15:32:00,2016-03-17 17:41:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 25,0,0,false,98.15,Breached SLA
INC0006331,2016-03-13 15:32:00,2016-03-17 08:18:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 51,Group 70,1,0,false,88.76666666666667,Breached SLA
INC0006335,2016-03-13 16:46:00,2016-03-13 16:52:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 23,Group 20,1,0,false,0.1,Breached SLA
INC0006337,2016-03-13 16:51:00,2016-03-23 15:28:00,2016-03-28 15:59:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 48,1,0,false,238.61666666666667,Breached SLA
INC0006338,2016-03-13 17:44:00,2016-03-16 12:40:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,0,0,false,66.93333333333334,Breached SLA
INC0006340,2016-03-13 19:24:00,2016-03-14 09:56:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 46,0,0,false,14.533333333333333,Breached SLA
INC0006341,2016-03-13 19:36:00,2016-03-17 15:36:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 39,2,0,false,92.0,Breached SLA
INC0006342,2016-03-13 20:17:00,2016-03-13 20:24:00,2016-05-23 11:07:00,3 - moderate,2 - Medium,2 - Medium,category 46,Group 55,0,0,false,0.11666666666666667,Breached SLA
INC0006347,2016-03-13 23:20:00,2016-03-22 14:36:00,2016-03-27 14:59:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 28,1,0,false,207.26666666666668,Breached SLA
INC0006348,2016-03-13 23:28:00,2016-03-13 23:44:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 35,Group 70,0,0,false,0.26666666666666666,Breached SLA
INC0006349,2016-03-14 00:05:00,2016-03-14 00:52:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,0,0,false,0.7833333333333333,Breached SLA
INC0006352,2016-03-14 00:23:00,2016-03-14 01:28:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 70,1,0,false,1.0833333333333333,Breached SLA
INC0006354,2016-03-14 01:15:00,2016-03-16 09:29:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 57,Group 65,6,0,false,56.233333333333334,Breached SLA
INC0006359,2016-03-14 03:09:00,2016-03-14 11:23:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 28,Group 56,2,0,false,8.233333333333333,Breached SLA
INC0006360,2016-03-14 03:14:00,2016-03-14 03:43:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 70,0,0,false,0.48333333333333334,Breached SLA
INC0006362,2016-03-14 04:11:00,2016-03-14 10:20:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 62,3,0,false,6.15,Breached SLA
INC0006364,2016-03-14 04:28:00,2016-03-23 08:17:00,2016-03-28 08:59:00,3 - moderate,2 - Medium,2 - Medium,category 61,Group 73,1,0,false,219.81666666666666,Breached SLA
INC0006365,2016-03-14 04:30:00,2016-03-22 13:09:00,2016-03-27 13:59:00,3 - moderate,2 - Medium,2 - Medium,category 7,Group 25,1,0,false,200.65,Breached SLA
INC0006373,2016-03-14 05:59:00,2016-03-24 03:58:00,2016-03-29 03:59:00,3 - moderate,2 - Medium,2 - Medium,category 35,Group 70,3,1,false,237.98333333333332,Breached SLA
