number,opened_at,resolved_at,closed_at,priority,urgency,impact,category,assignment_group,reassignment_count,reopen_count,made_sla,resolution_time_hours
INC0000045,2016-02-29 01:16:00,2016-02-29 11:29:00,2016-03-05 12:00:00,3 - moderate,2 - Medium,2 - Medium,category 55,Group 56,0,0,True,10.216666666666667
INC0000062,2016-02-29 06:58:00,2016-02-29 15:51:00,2016-03-05 16:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 23,1,0,False,8.883333333333333
INC0000063,2016-02-29 07:08:00,2016-02-29 16:01:00,2016-03-05 17:00:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 23,1,0,True,8.883333333333333
INC0000076,2016-02-29 08:25:00,2016-02-29 16:27:00,2016-03-05 17:00:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 23,0,0,True,8.033333333333333
INC0000077,2016-02-29 08:27:00,2016-02-29 09:04:00,2016-03-05 10:00:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,0,0,True,0.6166666666666667
INC0000079,2016-02-29 08:32:00,2016-02-29 11:20:00,2016-03-05 12:00:00,3 - moderate,2 - Medium,2 - Medium,category 8,Group 65,1,0,True,2.8
INC0000083,2016-02-29 08:39:00,2016-02-29 16:05:00,2016-03-05 17:00:00,4 - low,3 - Low,3 - Low,category 24,Group 23,1,0,True,7.433333333333334
INC0000088,2016-02-29 08:48:00,2016-02-29 09:05:00,2016-03-05 10:00:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,0,0,True,0.2833333333333333
INC0000101,2016-02-29 09:05:00,2016-02-29 11:00:00,2016-03-05 12:00:00,4 - low,3 - Low,2 - Medium,category 42,Group 65,0,0,True,1.9166666666666667
INC0000102,2016-02-29 09:06:00,2016-03-17 16:28:00,2016-03-24 18:59:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 23,4,1,False,415.3666666666667
INC0000105,2016-02-29 09:10:00,2016-02-29 11:58:00,2016-03-05 12:00:00,3 - moderate,2 - Medium,2 - Medium,category 45,Group 55,1,0,True,2.8
INC0000121,2016-02-29 09:25:00,2016-02-29 16:31:00,2016-03-05 17:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 23,0,0,True,7.1
INC0000124,2016-02-29 09:30:00,2016-02-29 11:05:00,2016-03-05 12:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 33,0,0,True,1.5833333333333333
INC0000135,2016-02-29 09:45:00,2016-02-29 16:17:00,2016-03-05 17:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 70,0,0,True,6.533333333333333
INC0000137,2016-02-29 09:48:00,2016-02-29 11:03:00,2016-03-05 12:00:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,0,0,True,1.25
INC0000147,2016-02-29 10:00:00,2016-03-14 09:49:00,2016-03-19 10:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 25,1,0,False,335.81666666666666
INC0000166,2016-02-29 10:24:00,2016-02-29 16:24:00,2016-03-05 17:00:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 27,0,0,True,6.0
INC0000167,2016-02-29 10:27:00,2016-02-29 11:02:00,2016-03-05 12:00:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 70,0,0,True,0.5833333333333334
INC0000171,2016-02-29 10:33:00,2016-03-18 13:44:00,2016-03-24 18:59:00,3 - moderate,2 - Medium,2 - Medium,category 24,Group 70,4,0,False,435.18333333333334
INC0000172,2016-02-29 10:36:00,2016-02-29 18:24:00,2016-03-05 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 23,Group 20,1,0,True,7.8
INC0000178,2016-02-29 10:45:00,2016-02-29 11:55:00,2016-03-05 12:00:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 70,0,0,True,1.1666666666666667
INC0000192,2016-02-29 10:58:00,2016-02-29 11:02:00,2016-03-05 12:00:00,3 - moderate,2 - Medium,2 - Medium,category 45,Group 70,0,0,True,0.06666666666666667
